[BGCOLOR]
156	252	240

# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\mario.png	255	255	255
10	textures\enemy.png	200	200	200
20	textures\hud.png	25	25	25
30	textures\fireball.png	255	255	255
40	textures\misc.png	225	255	255
50	textures\effect.png	0	0	0
60	textures\brick-debris.png	255	255	255
70	textures\reward.png	255	255	255

# id	left	top	right	bottom	texture_id
[SPRITES]
# SMALL MARIO 
# idle left
10001	1722	24	1758	72	0
# walk
10002	1670	24	1713	72	0
#jump
10003	1560	24	1608	72	0
#pre-fly
10004	1503	24	1551	72	0
10005	1449	24	1497	72	0
#fly
10006	1392	24	1440	72	0
#stop
10007	1617	24	1659	72	0
#kick
10008	1062	24	1110	72	0
#handle-shell
#idle
10009	1173	24	1212	72	0
#run + jump
10010	1119	24	1164	72	0
#front
10011	1280	24	1330	72	0
#die 
10099	1224	24	1272	72	0

#BIG MARIO					
#idle big					
11001	1887	144	1929	225	0
#walk					
11002	1830	144	1878	225	0
11003	1773	144	1821	225	0
#sit					
11004	1341	170	1383	225	0
#jump					
11005	1659	144	1707	225	0
#pre-fly					
11006	1593	144	1650	225	0
11007	1527	144	1584	225	0
11008	1458	144	1515	225	0
#fly					
11009	1392	144	1449	225	0
#stop					
11010	1716	141	1764	225	0
#kick					
11011	993	144	1056	225	0
#handle-shell					
#idle					
11012	1176	144	1218	225	0
#run					
11013	1122	144	1167	225	0
#jump					
11014	1065	144	1113	225	0
#front
11015	1226	144	1276	225	0

#RACCOON MARIO					
#idle					
12001	2217	426	2280	510	0
#walk					
12002	2142	426	2208	510	0
12003	2064	426	2133	510	0
#sit					
12004	888	456	954	510	0
#jump					
12005	1680	426	1749	510	0
#drop					
12006	1602	426	1671	510	0
12007	1524	426	1593	510	0
12008	1449	426	1515	510	0
#run-pre-fly					
12009	1368	426	1440	510	0
12010	1287	426	1359	510	0
12011	1206	426	1278	510	0
#fly					
12012	1125	426	1197	510	0
12013	1044	426	1116	510	0
12014	963	426	1035	510	0
#stop					
12015	2007	422	2055	510	0
#spin					
12016	2191	320	2287	405	0
#spin-front (id = 2)
12017	2191	219	2287	304	0
12018	2191	112	2287	197	0
#kick					
12019	531	426	598	510	0
#handle-shell					
#idle					
12020	759	426	823	510	0
#run					
12021	684	426	751	510	0
#jump					
12022	606	426	676	510	0
					
#FIRE MARIO					
#idle big					
13001	1860	327	1903	409	0
#walk					
13002	1806	327	1852	409	0
13003	1747	327	1795	409	0
#sit					
13004	1213	354	1255	409	0
#jump					
13005	1530	327	1579	409	0
#pre-fly				
13006	1465	327	1522	409	0
13007	1398	327	1456	409	0
13008	1330	327	1387	409	0
#fly					
13009	1263	327	1321	409	0
#stop					
13010	1689	324	1738	409	0
#kick					
13011	864	327	928	409	0
#handle-shell					
#idle					
13012	1048	327	1090	409	0
#run					
13013	993	327	1039	409	0
#jump					
13014	937	327	985	409	0
#shoot fire					
13015	1638	327	1681	409	0
13016	1587	327	1630	409	0
#front
13017	1096	327	1147	409	0

#QUESTION BRICK
40001	472	563	520	613	40
40002	528	563	576	613	40
40003	588	563	636	613	40
40004	645	563	693	613	40
40005	705	563	753	613	40
#brick-debris					
41001	0	0	21	23	60
41002	21	0	46	23	60
41003	46	0	68	23	60
41004	68	0	93	23	60
#brickblock					
42001	821	563	871	613	40
42002	878	563	928	613	40
42003	935	563	985	613	40
42004	992	563	1042	613	40

#COIN	
#coinbrick				
50001	870	298	918	348	40
50002	910	298	958	348	40
50003	945	298	993	348	40
#coin
50004	999	298	1045	348	40
50005	1056	298	1104	348	40
50006	1105	298	1163	348	40
					
#RED_MUSHROOM					
51001	466	361	517	413	40
					
#LEAF					
52001	528	361	589	413	40

#GREEN_MUSHROOM					
53001	856	361	907	413	40

#switch					
54001	467	431	517	481	40
54002	533	431	583	481	40
54003	599	431	649	481	40

#star					
55001	602	362	652	412	40
#white-flower					
55002	1109	362	1159	412	40

#FXcard					
#mushroom					
55100	14	80	64	130	70
55101	190	80	238	130	70
#star					
55102	134	80	184	130	70
55103	275	80	325	130	70
#white-flower					
55104	74	80	124	130	70
55105	233	80	278	130	70
#line					
55106	318	80	350	130	70
					
#VENUS-red -- first sprite for shooting					
#down					
61001	660	199	708	295	10
61002	708	199	756	295	10
#up					
61003	756	199	804	295	10
